id,ok,ko,mitige
"722",3,0,1
"723",0,1,1
"724",3,0,0
"725",1,0,0
"726",1,0,0
"727",1,0,0
"728",1,0,0
"729",1,0,0
"72",704,32,60
"730",1,0,0
"731",1,0,0
"732",3,0,0
"733",1,0,0
"734",1,0,0
"735",1,0,0
"736",3,0,0
"737",1,1,1
"738",2,0,1
"739",3,1,1
"73",606,9,54
"740",2,1,0
"741",3,0,0
"742",0,0,0
"743",2,0,0
"744",1,0,0
"745",1,0,0
"746",2,0,1
"747",2,0,0
"748",1,1,0
"749",0,0,1
"74",264,23,92
"750",2,0,0
"751",2,0,0
"752",1,0,0
"753",4,0,0
"754",1,0,0
"755",0,0,1
"756",4,0,0
"757",7,0,0
"758",1,1,0
"759",1,0,0
"75",421,18,49
"760",2,0,0
"761",3,0,0
"762",0,0,0
"763",3,0,0
"764",1,0,0
"765",1,0,0
"766",0,0,1
"767",1,0,0
"768",1,0,0
"769",0,0,0
"76",693,12,28
"770",0,0,0
"771",1,0,0
"772",1,0,0
"773",1,0,0
"774",0,0,0
"775",1,0,0
"776",0,0,0
"777",0,0,0
"778",1,0,0
"779",1,0,0
"77",428,24,43
"780",0,0,0
"781",1,0,0
"782",1,0,0
"78",230,20,74
"79",427,44,90
"80",563,17,45
"81",170,6,11
"82",793,19,41
"83",317,18,33
"84",375,5,6
"85",145,15,66
"86",335,17,40
"87",712,523,145
"88",448,18,32
"89",286,47,75
"90",684,80,69
"91",189,146,191
"93",735,3,12
"94",960,12,25
"95",250,13,12
"96",8,156,8
"97",90,12,13
"98",248,3,9
"99",80,19,13
